Dự án,Đường/Phố,Phường/Xã,Quận/Huyện,Phân loại quận,Loại tin,Mã tin,Diện tích,Mức giá,Hướng nhà,Hướng ban công,Số phòng ngủ,Số toilet,Pháp lý,Nội thất,Loại hình chung cư,Nhóm 1-Trường học,Nhóm 1- Chợ/Siêu thị,Nhóm 1-Bệnh viện,Nhóm 2-Công viên,Nhóm 2-Bể bơi,Nhóm 2-Gym,Slot ô tô,Nhà thoáng,Hiện đại,Bán gấp,Lô góc,Hỗ trợ vay,Tầng
Golden Palace,Mễ Trì,Mễ Trì,Nam Từ Liêm,Nội thành,Tin thường,37587338,128.0,35.0,Tây - Bắc,Đông - Nam,3.0,2.0,,,Chung cư,0,0,0,0,0,0,1,1,0,0,0,1,Trung
CT5 Văn Khê,,La Khê,Hà Đông,Nội thành,Tin thường,39014297,82.0,32.3,Tây - Bắc,Đông - Nam,2.0,2.0,Sổ hồng,Đầy đủ,Chung cư,0,0,0,0,0,0,0,0,0,0,0,0,
Diamond Flower Tower,Hoàng Đạo Thúy,Nhân Chính,Thanh Xuân,Nội thành,Tin thường,39135117,115.0,55.0,Nam,,3.0,2.0,Sổ đỏ/ Sổ hồng,Đầy đủ,Chung cư,0,0,0,0,0,0,1,1,1,0,0,0,
Sun Grand City,Thụy Khuê,Thụy Khuê,Tây Hồ,Nội thành,Tin thường,37509440,250.0,96.0,,,4.0,3.0,,,Chung cư,0,1,0,1,1,1,0,1,1,0,0,0,
Vinhomes West Point,Phạm Hùng,Mễ Trì,Nam Từ Liêm,Nội thành,Tin thường,39159735,93.0,69.9,Tây - Bắc,Đông - Nam,3.0,2.0,Sổ đỏ/ Sổ hồng,Cơ bản,Chung cư,0,0,0,0,0,0,0,0,0,0,0,0,
Times Tower - HACC1 Complex Building,35  Lê Văn Lương,Nhân Chính,Thanh Xuân,Nội thành,Tin thường,38444089,128.0,48.4,Tây - Bắc,Đông - Nam,3.0,2.0,Sổ đỏ/ Sổ hồng,Đầy đủ,Chung cư,0,0,0,0,0,0,0,0,0,0,0,0,Trung
Sunshine Garden,Dương Văn Bé,Vĩnh Tuy,Hai Bà Trưng,Nội thành,Tin thường,38989881,95.0,47.4,,,3.0,2.0,Sổ đỏ/ Sổ hồng,Cơ bản,Chung cư,0,0,0,0,0,0,0,1,0,0,0,0,Trung
The Park Home,Thành Thái,Dịch Vọng,Cầu Giấy,Nội thành,Tin thường,39200019,120.4,Thỏa thuận,Đông - Nam,Đông - Nam,3.0,2.0,Sổ đỏ/ Sổ hồng,Đầy đủ,Chung cư,1,0,0,1,0,0,1,1,0,0,1,0,
The Park Home,Thành Thái,Dịch Vọng,Cầu Giấy,Nội thành,Tin thường,37662145,120.0,55.8,,,3.0,2.0,Sổ đỏ/ Sổ hồng,"Cơ bản, điều hòa âm trần, thiết bị vệ sinh, tủ bếp",Chung cư,0,0,0,0,0,0,1,0,1,0,0,0,Cao
Chung cư Đường Giải Phóng,Giải Phóng,Tương Mai,Hoàng Mai,Nội thành,Tin thường,35712237,56.0,11.8,,,2.0,2.0,Sổ đỏ/ Sổ hồng,Nội thất đầy đủ - về ở luôn.,Chung cư,0,0,0,0,0,0,1,0,0,0,0,0,
