Dự án,Đường/Phố,Phường/Xã,Quận/Huyện,Phân loại quận,Loại tin,Mã tin,Diện tích,Mức giá,Hướng nhà,Hướng ban công,Số phòng ngủ,Số toilet,Pháp lý,Nội thất,Loại hình chung cư,Nhóm 1-Trường học,Nhóm 1-Chợ/Siêu thị,Nhóm 1-Bệnh viện,Nhóm 2-Công viên,Nhóm 2-Bể bơi,Nhóm 2-Gym,Slot ô tô,Nhà thoáng,Hiện đại,Bán gấp,Lô góc,Hỗ trợ vay,Tầng
The Park Home,Thành Thái,Dịch Vọng,Cầu Giấy,Nội thành,Tin thường,39200019,120.4,Thỏa thuận,Đông - Nam,Đông - Nam,3.0,2.0,"Sổ đỏ, sổ hồng, pháp lý đầy đủ",Full nội thất,Chung cư,1,0,0,1,0,0,1,1,0,0,1,0,
Handico Complex,Lê Văn Lương,Nhân Chính,Thanh Xuân,Nội thành,Tin thường,39175873,71.0,Thỏa thuận,,,2.0,2.0,"Sổ đỏ, sổ hồng, pháp lý đầy đủ",Full nội thất,Chung cư,1,0,0,0,0,0,1,0,0,0,0,1,
N01-T6 Ngoại Giao Đoàn,,,Bắc Từ Liêm,Nội thành,Tin thường,38579968,143.0,Thỏa thuận,Nam,Đông - Bắc,4.0,3.0,Hợp đồng mua bán,Full nội thất,Chung cư,0,0,0,0,0,0,0,1,0,0,0,0,
FLC Landmark Tower,Lê Đức Thọ,Mỹ Đình 2,Nam Từ Liêm,Nội thành,Tin thường,38631766,159.0,Thỏa thuận,,Tây - Bắc,3.0,2.0,"Sổ đỏ, sổ hồng, pháp lý đầy đủ",Chưa có nội thất,Chung cư,0,0,0,0,0,0,0,0,0,1,0,0,
HH4 Linh Đàm,Linh,Hoàng Liệt,Hoàng Mai,Nội thành,Tin thường,39195369,76.0,Thỏa thuận,,,2.0,2.0,Khác,Full nội thất,Chung cư,0,0,0,0,0,0,0,0,0,1,0,1,Trung
Rivera Park Hà Nội,Vũ Trọng Phụng,Thanh Xuân Trung,Thanh Xuân,Nội thành,Tin thường,35287674,94.0,Thỏa thuận,Đông - Nam,Tây - Bắc,3.0,2.0,"Sổ đỏ, sổ hồng, pháp lý đầy đủ",Khác,Chung cư,0,0,0,0,0,0,0,0,0,0,1,0,
Eco Dream,,Tân Triều,Thanh Trì,Ngoại thành,Tin thường,37360077,98.0,Thỏa thuận,,,3.0,2.0,"Sổ đỏ, sổ hồng, pháp lý đầy đủ",Nội thất cơ bản,Chung cư,0,0,0,0,0,0,0,0,0,0,0,0,
Sunshine Golden River,,Phú Thượng,Tây Hồ,Nội thành,Tin thường,38631335,211.0,Thỏa thuận,,Nam,4.0,,Khác,Khác,Chung cư,1,0,0,1,1,0,1,1,1,1,0,0,
Eco Green City,Nguyễn Xiển,Tân Triều,Thanh Trì,Ngoại thành,Tin thường,39167824,95.0,Thỏa thuận,Tây - Nam,Đông - Bắc,3.0,2.0,Khác,Khác,Chung cư,0,0,0,0,0,0,0,0,0,0,0,0,Trung
Green Diamond 93 Láng Hạ,Láng Hạ,Láng Hạ,Đống Đa,Nội thành,Tin thường,39145987,91.36,Thỏa thuận,,,3.0,2.0,Hợp đồng mua bán,Full nội thất,Chung cư,0,0,0,0,0,0,0,1,0,0,0,0,Trung
N01-T6 Ngoại Giao Đoàn,,Xuân Tảo,Bắc Từ Liêm,Nội thành,Tin thường,39199696,106.0,Thỏa thuận,,,3.0,2.0,Khác,Khác,Chung cư,0,0,0,0,0,0,0,1,1,1,0,0,Cao
N04 Trần Duy Hưng,Hoàng Đạo Thúy,Trung Hòa,Cầu Giấy,Nội thành,Tin thường,24704865,128.0,Thỏa thuận,,,3.0,2.0,Khác,Khác,Chung cư,0,0,0,0,0,0,0,0,1,0,0,0,Cao
Mandarin Garden,Hoàng Minh Giám,Trung Hòa,Cầu Giấy,Nội thành,Tin thường,32574795,145.0,Thỏa thuận,,,3.0,2.0,"Sổ đỏ, sổ hồng, pháp lý đầy đủ",Full nội thất,Chung cư,0,0,0,0,0,0,0,1,0,0,0,0,
Florence Mỹ Đình,Trần Hữu Dực,Cầu Diễn,Nam Từ Liêm,Nội thành,Tin thường,31215094,101.0,Thỏa thuận,Tây - Bắc,Đông - Nam,3.0,2.0,"Sổ đỏ, sổ hồng, pháp lý đầy đủ",Full nội thất,Chung cư,0,1,0,0,0,0,0,1,0,0,0,0,
Hinode City,Minh Khai,Minh Khai,Hai Bà Trưng,Nội thành,Tin thường,39201504,80.0,Thỏa thuận,,,2.0,2.0,Khác,Khác,Chung cư,0,0,0,0,0,0,0,1,0,0,0,0,Trung
An Bình Plaza,Trần Bình,Mỹ Đình 2,Nam Từ Liêm,Nội thành,Tin thường,39091448,88.0,Thỏa thuận,Tây - Bắc,Đông - Nam,3.0,2.0,"Sổ đỏ, sổ hồng, pháp lý đầy đủ",Full nội thất,Chung cư,0,0,0,0,0,0,1,0,0,0,0,0,
Le Grand Jardin Sài Đồng,Huỳnh Văn Nghệ,Sài Đồng,Long Biên,Nội thành,Tin thường,39174623,84.9,Thỏa thuận,,Đông - Nam,3.0,,Khác,Khác,Chung cư,1,1,0,1,1,0,0,1,0,0,0,0,
Lumi Hanoi,Đại lộ Thăng Long,Tây Mỗ,Nam Từ Liêm,Nội thành,Tin thường,39187184,42.2,Thỏa thuận,Đông - Nam,Tây - Bắc,1.0,1.0,"Sổ đỏ, sổ hồng, pháp lý đầy đủ",Full nội thất,Chung cư,0,0,0,0,0,0,0,0,1,0,0,1,
