Đường/Phố,Phường/Xã,Quận/Huyện,Phân loại quận,Loại tin,Mã tin,Diện tích,Mức giá,Mặt tiền,Đường vào,Hướng ban công,Hướng nhà,Số tầng,Số phòng ngủ,Số toilet,Pháp lý,Nội thất,Loại hình,Nhóm 1-Trường học,Nhóm 1- Chợ/Siêu thị,Nhóm 1-Bệnh viện,Công viên,Loại ngõ,Vỉa hè,Bán gấp,Sân phơi,Nhà thoáng,Gần hồ,An ninh,Hiện đại,Chỗ để xe,Thang máy,Lô góc,Hỗ trợ vay
Quốc lộ 32,Di Trạch,Hoài Đức,Ngoại thành,Tin thường,39164231,95.0,Thỏa thuận,,,,Đông - Bắc,,,,Hợp đồng mua bán,Khác,Biệt thự,1,0,0,1,,0,0,0,1,1,1,0,0,0,0,0
Tố Hữu,Đại Mỗ,Nam Từ Liêm,Nội thành,Tin thường,39121261,190.0,Thỏa thuận,,,,,4.0,5.0,5.0,"Sổ đỏ, sổ hồng, pháp lý đầy đủ",Full nội thất,Biệt thự,0,0,0,1,,0,0,0,0,0,0,0,1,0,0,0
Võ Chí Công,Xuân La,Tây Hồ,Nội thành,Tin thường,36863447,200.0,Thỏa thuận,8.5,,,Tây - Bắc,5.0,4.0,3.0,Khác,Khác,Biệt thự,1,1,0,1,,1,0,0,1,1,0,1,1,1,0,0
5,Hải Bối,Đông Anh,Ngoại thành,Tin thường,39190248,62.0,Thỏa thuận,,,,,3.0,3.0,3.0,"Sổ đỏ, sổ hồng, pháp lý đầy đủ",Khác,Nhà riêng,0,1,1,0,Nhỏ,0,1,0,0,0,0,0,0,0,0,0
Quốc lộ 32,Tân Lập,Đan Phượng,Ngoại thành,Tin thường,39028939,95.0,Thỏa thuận,5.0,15.0,Đông - Bắc,Đông - Bắc,,4.0,4.0,"Sổ đỏ, sổ hồng, pháp lý đầy đủ",Full nội thất,Biệt thự,0,0,0,0,Nhỏ,1,0,0,0,0,0,0,0,0,0,0
,Xuân La,Tây Hồ,Nội thành,Tin thường,39072312,30.0,Thỏa thuận,4.0,4.0,,,3.0,2.0,2.0,"Sổ đỏ, sổ hồng, pháp lý đầy đủ",Khác,Nhà riêng,0,0,0,0,,0,0,1,1,0,0,0,0,0,0,0
422B,Vân Canh,Hoài Đức,Ngoại thành,Tin thường,39133334,35.0,Thỏa thuận,4.8,2.0,,Đông - Nam,3.0,2.0,2.0,"Sổ đỏ, sổ hồng, pháp lý đầy đủ",Nội thất cơ bản,Nhà riêng,1,1,0,0,,0,0,0,0,0,0,0,0,0,0,0
Nguyên Xá,Minh Khai,Bắc Từ Liêm,Nội thành,Tin thường,38124602,30.0,Thỏa thuận,,,,,,3.0,,"Sổ đỏ, sổ hồng, pháp lý đầy đủ",Khác,Nhà riêng,1,1,0,0,,0,0,0,1,0,0,0,0,0,0,0
Nguyễn Chánh,Yên Hòa,Cầu Giấy,Nội thành,Tin thường,39129653,110.0,Thỏa thuận,15.0,20.0,,,5.0,5.0,5.0,"Sổ đỏ, sổ hồng, pháp lý đầy đủ",Full nội thất,Biệt thự,1,0,0,1,Nhỏ,1,1,0,1,0,0,0,0,1,1,0
Nguyễn Văn Huyên,Xuân Tảo,Bắc Từ Liêm,Nội thành,Tin thường,39061270,220.0,Thỏa thuận,10.0,25.0,Đông - Nam,Đông - Nam,3.0,5.0,5.0,"Sổ đỏ, sổ hồng, pháp lý đầy đủ",Khác,Biệt thự,1,0,0,1,,0,0,0,1,1,1,0,0,0,0,0
Hoàng Công,Kiến Hưng,Hà Đông,Nội thành,Tin thường,39054194,55.0,Thỏa thuận,5.0,12.0,Tây,Tây,5.0,,,"Sổ đỏ, sổ hồng, pháp lý đầy đủ",Full nội thất,Nhà riêng,1,1,0,1,Nhỏ,1,0,0,0,0,0,0,0,1,0,0
23B,Thanh Lâm,Mê Linh,Ngoại thành,Tin thường,39142757,135.0,Thỏa thuận,6.0,13.5,Đông - Bắc,Tây - Nam,3.0,,,"Sổ đỏ, sổ hồng, pháp lý đầy đủ",Khác,Biệt thự,1,1,0,1,,0,1,0,0,0,0,0,0,0,0,0
,Dương Xá,Gia Lâm,Ngoại thành,Tin thường,34968244,165.0,Thỏa thuận,9.2,13.0,Tây - Bắc,Tây - Bắc,4.0,,,"Sổ đỏ, sổ hồng, pháp lý đầy đủ",Khác,Biệt thự,0,0,0,0,,0,1,0,0,0,1,0,0,0,0,0
Xuân Đỉnh,Xuân Đỉnh,Bắc Từ Liêm,Nội thành,Tin thường,38415798,312.0,Thỏa thuận,,,,Đông - Bắc,,,,"Sổ đỏ, sổ hồng, pháp lý đầy đủ",Khác,Biệt thự,0,0,0,0,,0,0,0,0,0,0,0,0,0,1,0
Mậu Lương,Kiến Hưng,Hà Đông,Nội thành,Tin thường,38585341,33.0,Thỏa thuận,3.5,2.5,,Đông,5.0,3.0,4.0,"Sổ đỏ, sổ hồng, pháp lý đầy đủ",Nội thất cơ bản,Nhà riêng,1,1,0,0,,0,0,1,1,1,0,1,0,0,0,0
Cổ Điển B,Tứ Hiệp,Thanh Trì,Ngoại thành,Tin thường,36606323,45.0,Thỏa thuận,,,,,5.0,4.0,,"Sổ đỏ, sổ hồng, pháp lý đầy đủ",Full nội thất,Nhà riêng,1,1,0,0,Rộng,0,0,0,0,0,0,0,0,0,0,0
70,Vân Canh,Hoài Đức,Ngoại thành,Tin thường,39175027,38.0,Thỏa thuận,,,,,,4.0,4.0,Khác,Khác,Nhà riêng,1,1,1,0,,0,0,1,0,0,1,1,0,0,0,0
Quang Trung,Quang Trung,Hà Đông,Nội thành,Tin thường,39229575,35.0,Thỏa thuận,3.0,2.5,Đông - Nam,Đông - Nam,4.0,4.0,4.0,"Sổ đỏ, sổ hồng, pháp lý đầy đủ",Full nội thất,Nhà riêng,1,1,0,0,Nhỏ,0,1,0,0,0,1,0,0,0,0,0
Ngọc Lâm,Ngọc Lâm,Long Biên,Nội thành,Tin thường,39051825,63.0,Thỏa thuận,,,,,7.0,4.0,,"Sổ đỏ, sổ hồng, pháp lý đầy đủ",Full nội thất,Nhà riêng,1,0,0,0,,0,1,1,0,1,1,1,1,1,1,0
