,href
0,https://batdongsan.com.vn/ban-shophouse-nha-pho-thuong-mai-duong-70-2-phuong-xuan-phuong-prj-khu-do-thi-xuan-phuong/ban-lo-goc-phuong-pr39229821
1,https://batdongsan.com.vn/ban-shophouse-nha-pho-thuong-mai-duong-le-trong-tan-xa-an-khanh-4-prj-the-golden-an-khanh-32t/b-1590m2-g-1-va-370m-g-2-toa-khh-mat-gia-35tr-so-vv-pr38888355
2,https://batdongsan.com.vn/ban-shophouse-nha-pho-thuong-mai-duong-le-trong-tan-xa-an-khanh-4-prj-khu-biet-thu-thien-duong-bao-son/-kinh-doanh-mat-dt-so-556-5m2-tong-dt-su-dung-c-te-660m2-pr38749680
3,https://batdongsan.com.vn/ban-shophouse-nha-pho-thuong-mai-duong-ham-nghi-phuong-cau-dien-prj-vinhomes-gardenia/gia-dinh-dinh-cu-nuoc-ngoai-nen-ban-shop-chan-de-dau-tu-cuc-tot-pr39169106
4,https://batdongsan.com.vn/ban-shophouse-nha-pho-thuong-mai-duong-nguyen-dinh-tu-phuong-xuan-dinh-prj-jade-square/chinh-chu-can-ban-48-no4-130m2-mat-tien-6-3m-21-ty-5-pr38327209
5,https://batdongsan.com.vn/ban-shophouse-nha-pho-thuong-mai-pho-nam-cao-phuong-giang-vo-prj-the-golden-armor/chung-cu-chong-dan-hd-thue-200tr-th-so-do-lau-dai-chan-de-mt-10m-pr39114640
6,https://batdongsan.com.vn/ban-shophouse-nha-pho-thuong-mai-pho-chua-lang-phuong-lang-thuong-prj-langs-village/duy-t-3-suat-ngoai-giao-doi-dien-dai-hoc-ngoai-va-hoc-vien-ngoai-giao-pr38978413
7,https://batdongsan.com.vn/ban-shophouse-nha-pho-thuong-mai-phuong-duong-noi-prj-the-terra-an-hung/b-goc-80m2-xay-8-tg-tai-hung-pr39150828
8,https://batdongsan.com.vn/ban-shophouse-nha-pho-thuong-mai-duong-to-huu-phuong-van-phuc-1-prj-him-lam-van-phuc/cat-lo-2-ty-chinh-chu-ban-lo-goc-shop-house-188m2-x-6-tang-tm-27-ty-pr36906434
9,https://batdongsan.com.vn/ban-shophouse-nha-pho-thuong-mai-duong-thanh-trung-thi-tran-trau-quy-prj-du-an-thuan-an/ban-90m2-view-ho-tam-31ha-gia-lam-pr39180435
10,https://batdongsan.com.vn/ban-shophouse-nha-pho-thuong-mai-duong-co-loa-xa-uy-no-prj-calyx-residence/lien-ke-70m-ngoai-giao-ki-truc-tiep-chu-dau-tu-6x-trieu-m-pr32350031
