,href
0,https://batdongsan.com.vn/ban-can-ho-chung-cu-duong-to-huu-phuong-yen-nghia-1-prj-xuan-mai-complex/chinh-chu-ban-2pn-2vs-co-do-nha-dep-nhu-hinh-gia-ca-2-x-ty-cho-khach-co-nhu-cau-pr39180896
1,https://batdongsan.com.vn/ban-can-ho-chung-cu-duong-duc-giang-phuong-duc-giang-2-prj-binh-minh-garden/truc-tiep-tu-cdt-75m-2pn-2-vs-gia-3-1x-ty-ban-giao-full-noi-that-tro-ls-0-12-thang-pr39096127
2,https://batdongsan.com.vn/ban-can-ho-chung-cu-phuong-phu-lam-1-prj-the-vesta/-ban-2pn-2vs-toa-thuong-mai-cc-so-do-san-sang-ten-gia-2-x-ty-lh-pr39051171
3,https://batdongsan.com.vn/ban-can-ho-chung-cu-pho-giang-vo-phuong-kim-ma-prj-grandeur-palace-giang-vo/-ban-gap-cao-cap-138b-105m2-3pn-gia-9-3-ty-lh-0915629536-pr32857962
4,https://batdongsan.com.vn/ban-can-ho-chung-cu-duong-dai-lo-thang-long-phuong-tay-mo-prj-imperia-smart-city/chinh-chu-tien-ban-gap-2n-55m-da-co-so-giao-dich-24-7-full-do-xin-pr39137730
5,https://batdongsan.com.vn/ban-can-ho-chung-cu-duong-le-van-luong-phuong-nhan-chinh-prj-handi-resco-le-van-luong/-chu-ban-handiresco-70m2-thiet-ke-2ngu-tang-trung-full-noi-that-moi-cao-cap-gia-3ty8-pr38966976
6,https://batdongsan.com.vn/ban-can-ho-chung-cu-duong-tam-trinh-phuong-yen-so-prj-nha-o-xa-hoi-home/ban-2n-toa-987-quan-ang-mai-dep-gia-re-pr39177218
7,https://batdongsan.com.vn/ban-can-ho-chung-cu-duong-duong-van-be-phuong-vinh-tuy-prj-sunshine-garden/chinh-chu-ban-1pn-45m2-minh-khai-gia-chi-2-ty-470-da-co-so-lhe-pr38815731
8,https://batdongsan.com.vn/ban-can-ho-chung-cu-duong-huynh-van-nghe-phuong-sai-dong-prj-le-grand-jardin-sai-dong/mua-nha-sang-ruoc-loc-vang-qua-tang-ck-ngay-7-5-mien-lai-suat-vay-nh-tang-tien-mat-pr38877520
9,https://batdongsan.com.vn/ban-can-ho-chung-cu-xa-duong-xa-prj-vinhomes-ocean-park-gia-lam/-sieu-re-1pn-1-dt-47m2-vinmes-1-27-ty-pr34778308
10,https://batdongsan.com.vn/ban-can-ho-chung-cu-phuong-dong-ngac-prj-sunshine-city/ban-goc-3pn-ban-cong-nam-ciputra-105m2-lien-he-pr38537194
11,https://batdongsan.com.vn/ban-can-ho-chung-cu-phuong-giang-bien-1-prj-happy-star-tower/ban-gap-76m2-3pn-de-lai-noi-that-gia-2-4-ty-pr39183058
12,https://batdongsan.com.vn/ban-can-ho-chung-cu-duong-to-huu-phuong-trung-van-prj-mhd-trung-van/em-giang-pkd-chu-dau-tu-chiet-khau-10-gtch-pr39201352
